股票代码,股票名称,涨跌幅,概念名称
300460,惠伦晶体,6.88,"安防,比亚迪概念,华为海思概念股,苹果概念,汽车电子,卫星导航,小米概念,芯片概念,元宇宙"
1306,夏厦精密,6.85,"安防,比亚迪概念,共同富裕示范区,工业母机,减速器,家用电器,机器人概念,人形机器人,新股与次新股,新能源汽车,智能家居,注册制次新股"
300136,信维通信,6.68,"安防,车联网(车路协同),毫米波雷达,机器人概念,苹果概念,汽车电子,柔性屏(折叠屏),商业航天,特斯拉概念,卫星导航,WiFi 6,物联网,无人机,无线充电,无线耳机,消费电子概念,虚拟现实,粤港澳大湾区,智能穿戴,智能音箱,5G,6G概念"
801,四川九洲,6.44,"安防,大飞机,低空经济,F5G概念,国企改革,军工信息化,军民融合,人工智能,商业航天,数据要素,WiFi 6,物联网,无人机,物业管理,乡村振兴,智能家居,5G"
600121,郑州煤电,5.40,"安防,煤炭概念"
603516,淳中科技,5.17,"安防,军工信息化,星闪概念,智慧城市"
833030,立方控股,5.09,"安防,网约车,智慧城市"
2808,ST恒久,5.02,"安防,光伏概念,NFT概念,区块链,燃料电池,数据安全,数字经济,ST板块,信创,网络安全,医疗器械概念"
810,创维数字,4.83,"安防,百度概念,长安汽车概念,储能,短剧游戏,F5G概念,鸿蒙概念,华为海思概念股,家用电器,空间计算,MiniLED,OLED,汽车电子,柔性屏(折叠屏),数据要素,数据中心,数字经济,腾讯概念,文化传媒概念,WiFi 6,物联网,无人机,消费电子概念,小米概念,星闪概念,虚拟现实,眼科医疗,元宇宙,在线教育,智能穿戴,智能家居,智能音箱,智能座舱"
605268,王力安防,4.63,"安防,电子商务,人脸识别,网络直播,新型城镇化,智慧城市,智能家居"
688287,ST观典,4.58,"安防,低空经济,ST板块,无人机,智慧城市"
300053,航宇微,4.58,"安防,低空经济,东数西算(算力),飞行汽车(eVTOL),横琴新区,汽车芯片,人脸识别,商业航天,时空大数据,数据要素,数据中心,卫星导航,粤港澳大湾区,智能交通"
838924,广脉科技,4.31,"安防,东数西算(算力),高铁,信创,网络安全,养老概念"
301117,佳缘科技,4.29,"安防,互联网医疗,军工信息化,量子科技,汽车芯片,区块链,商业航天,数据安全,数据中心,数字经济,网络安全,移动支付,智慧政务,智能交通,智能医疗"
