secID,secShortName,ths概念名称
000701.XSHE,厦门信达,"军工信息化,低空经济,小米汽车,国企改革,AIGC概念,统一大市场,互联网金融,MiniLED,新零售,无人零售,智能物流,金属铜,金属镍,小米概念,福建自贸区,无人机,小金属概念,智慧城市,电子商务,移动支付,物联网,节能照明,海峡两岸,石墨烯,车联网(车路协同),创投,华为汽车"
002669.XSHE,康达新材,"军工信息化,低空经济,新冠特效药,国企改革,先进封装,PCB概念,专精特新,新材料概念,光刻胶,消费电子概念,机器人概念,供应链金融,军民融合,集成电路概念,高铁,华为概念,光伏概念,5G,锂电池,卫星导航,风电,碳纤维,军工,传感器,毫米波雷达,商业航天"
300447.XSHE,全信股份,"军工信息化,专精特新,大飞机,深股通,高铁,芯片概念,无人机,卫星导航,通用航空,军工"
300324.XSHE,旋极信息,"军工信息化,算力租赁,时空大数据,信创,华为鲲鹏,数字经济,东数西算（算力）,光伏建筑一体化,数据中心,网络安全,云游戏,军民融合,智慧政务,大飞机,数字孪生,独角兽概念,区块链,人工智能,腾讯概念,深股通,阿里巴巴概念,华为概念,芯片概念,光伏概念,融资融券,无人机,大数据,卫星导航,智慧城市,物联网,军工,车联网(车路协同),东数西算(算力),京津冀一体化,数据要素,智能交通"
688132.XSHG,邦彦技术,"军工信息化,网络安全,融资融券,军工"
003029.XSHE,吉大正元,"军工信息化,长安汽车概念,数字水印,信创,比亚迪概念,电子身份证,数字经济,跨境支付（CIPS）,中俄贸易概念,抖音概念,数据安全,专精特新,鸿蒙概念,网络安全,智慧政务,车联网,工业互联网,区块链,蚂蚁金服概念,数字货币,智能交通,深股通,华为概念,无人驾驶,芯片概念,量子科技,军工,安防,华为鲲鹏,车联网(车路协同),商业航天,物联网,智慧城市"
600839.XSHG,四川长虹,"军工信息化,AI语料,低空经济,星闪概念,毫米波雷达,血氧仪,国企改革,信创,跨境支付（CIPS）,沪股通,智能制造,数据中心,传感器,机器人概念,智能家居,网络直播,军民融合,工业互联网,OLED,钒电池,大飞机,超清视频,边缘计算,区块链,人工智能,虚拟现实,跨境电商,医疗器械概念,航空发动机,华为概念,百度概念,芯片概念,融资融券,大数据,家用电器,智能医疗,物联网,军工,储能,电子商务,华为海思概念股,华为欧拉,苹果概念,消费电子概念,小米概念,云游戏,智慧城市,无人机"
603488.XSHG,展鹏科技,"军工信息化,换电概念,新能源汽车,军工,虚拟现实"
600590.XSHG,泰豪科技,"军工信息化,电力物联网,国产航母,沪股通,储能,氢能源,军民融合,云计算,燃料电池,区块链,虚拟现实,华为概念,一带一路,光伏概念,融资融券,大数据,卫星导航,碳纤维,智能电网,军工,创投,商业航天"
300597.XSHE,吉大通信,"军工信息化,数据中心,边缘计算,养老概念,一带一路,5G,军工,车联网(车路协同),智能交通"
300099.XSHE,尤洛卡,"军工信息化,多模态AI,氢能源,机器人概念,军民融合,燃料电池,区块链,华为概念,无人驾驶,芯片概念,融资融券,5G,特高压,新能源汽车,军工,高铁,商业航天"
300352.XSHE,北信源,"军工信息化,数字水印,ChatGPT概念,信创,华为鲲鹏,数据安全,鸿蒙概念,安防,网络安全,智能家居,军民融合,智慧政务,工业互联网,云办公,国产操作系统,区块链,人工智能,数字货币,深股通,国产软件,华为概念,百度概念,融资融券,大数据,量子科技,智慧城市,物联网,军工,低空经济"
002519.XSHE,银河电子,"军工信息化,宁德时代概念,储能,机器人概念,智能家居,军民融合,超清视频,人工智能,深股通,融资融券,锂电池,新能源汽车,智能电网,军工,创投,充电桩,锂电池概念,商业航天,无人驾驶"
600879.XSHG,航天电子,"军工信息化,太赫兹,国企改革,央企国企改革,沪股通,军民融合,标普道琼斯A股,MSCI概念,集成电路概念,芯片概念,融资融券,无人机,量子科技,卫星导航,特高压,物联网,军工,商业航天,高端装备"
603977.XSHG,国泰集团,"军工信息化,国企改革,数字经济,民爆概念,沪股通,智能制造,元宇宙,3D打印,军民融合,智慧政务,工业互联网,虚拟现实,高铁,航空发动机,芯片概念,小金属概念,稀缺资源,军工"
000547.XSHE,航天发展,"军工信息化,低空经济,MR（混合现实）,国企改革,央企国企改革,信创,数据安全,元宇宙,网络安全,军民融合,海工装备,标普道琼斯A股,MSCI概念,虚拟现实,深股通,福建自贸区,芯片概念,融资融券,无人机,5G,大数据,卫星导航,风电,海峡两岸,军工,乡村振兴,商业航天"
000948.XSHE,南天信息,"军工信息化,国企改革,信创,华为鲲鹏,国资云,电子身份证,数字经济,跨境支付（CIPS）,数据安全,元宇宙,NFT概念,碳中和,数据中心,网络安全,知识产权保护,ETC,军民融合,智慧政务,在线教育,云计算,区块链,人工智能,数字货币,智能交通,互联网医疗,深股通,国产软件,医疗器械概念,华为概念,信托概念,机器视觉,人脸识别,语音技术,融资融券,乡村振兴,大数据,智能医疗,智慧城市,移动支付,物联网,参股新三板,军工,创投,互联网金融,鸿蒙概念"
002231.XSHE,奥维通信,"军工信息化,专精特新,军民融合,HJT电池,5G,军工"
300542.XSHE,新晨科技,"军工信息化,低空经济,数据要素,Web3.0,信创,华为欧拉,华为鲲鹏,跨境支付（CIPS）,元宇宙,NFT概念,鸿蒙概念,数据中心,军民融合,互联网金融,区块链,国产软件,华为概念,一带一路,百度概念,大数据,通用航空,军工,华为海思概念股,华为昇腾,商业航天,数字货币,网络安全,智慧城市"
002446.XSHE,盛路通信,"军工信息化,6G概念,毫米波雷达,军民融合,车联网,标普道琼斯A股,深股通,集成电路概念,华为概念,无人驾驶,芯片概念,融资融券,5G,卫星导航,物联网,军工,太赫兹,智能电网,商业航天,汽车电子,车联网(车路协同)"
002465.XSHE,海格通信,"军工信息化,低空经济,太赫兹,6G概念,时空大数据,成飞概念,国产航母,国企改革,军民融合,标普道琼斯A股,分拆上市意愿,国产操作系统,MSCI概念,人工智能,虚拟现实,深股通,国产软件,芯片概念,融资融券,无人机,5G,卫星导航,智慧城市,物联网,军工,大飞机,商业航天,智能交通,车联网(车路协同),智能穿戴"
